Survived,Pclass,Sex,Age,Fare,Embarked,Title,Family_members,1,2,3,female,male,Capt,Col,Countess,Don,Dr,Jonkheer,Lady,Major,Master,Miss,Mlle,Mme,Mr,Mrs,Ms,Rev,Sir,"0    S
dtype: object",C,Q,S
0,3,male,0.2711736617240513,0.000529295737436108,S,Mr,0.02711736617240513,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,female,0.4722292033174164,0.0009217300191310908,C,Mrs,0.04722292033174164,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,3,female,0.32143754712239253,0.0006274043078598536,S,Miss,0.03214375471223925,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,female,0.43453128926866047,0.0008481485913132815,S,Mrs,0.04345312892686605,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,3,male,0.43453128926866047,0.0008481485913132815,S,Mr,0.04345312892686605,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.36792055349407915,0.0007181330939054013,Q,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,male,0.6732847449107816,0.0013141643008260735,S,Mr,0.06732847449107816,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.01985423473234481,3.875288531737955e-05,S,Master,0.001985423473234481,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3,female,0.33400351847197784,0.00065193145046579,S,Mrs,0.033400351847197786,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,2,female,0.17064589092736868,0.0003330785965886166,C,Mrs,0.01706458909273687,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,3,female,0.04498617743151546,8.780717052925239e-05,S,Miss,0.004498617743151545,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,female,0.7235486303091229,0.001412272871249819,S,Miss,0.07235486303091229,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,male,0.24604171902488062,0.0004802414522242351,S,Mr,0.02460417190248806,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.4847951746670017,0.0009462571617370271,S,Mr,0.04847951746670017,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,female,0.17064589092736868,0.0003330785965886166,S,Miss,0.01706458909273687,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,2,female,0.6858507162603669,0.0013386914434320098,S,Mrs,0.06858507162603669,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,3,male,0.01985423473234481,3.875288531737955e-05,Q,Master,0.001985423473234481,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,2,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,female,0.38426740387031916,0.0007500400208895358,S,Mrs,0.038426740387031914,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,3,female,0.36792055349407915,0.0007181330939054013,C,Mrs,0.036792055349407916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,2,male,0.43453128926866047,0.0008481485913132815,S,Mr,0.04345312892686605,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,male,0.42196531791907516,0.0008236214487073451,S,Mr,0.042196531791907514,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,female,0.18321186227695402,0.00035760573919455305,Q,Miss,0.0183211862276954,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,male,0.3465694898215632,0.0006764585930717265,S,Mr,0.03465694898215632,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,female,0.09525006282985675,0.00018591574095299808,S,Miss,0.009525006282985676,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,female,0.4722292033174164,0.0009217300191310908,S,Mrs,0.04722292033174164,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,3,male,0.36792055349407915,0.0007181330939054013,C,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,male,0.23347574767529528,0.0004557143096182987,S,Mr,0.02334757476752953,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,female,0.36792055349407915,0.0007181330939054013,Q,Miss,0.036792055349407916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,3,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,male,0.4973611460165871,0.0009707843043429636,C,Don,0.04973611460165871,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,female,0.36792055349407915,0.0007181330939054013,C,Mrs,0.036792055349407916,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,3,female,0.36792055349407915,0.0007181330939054013,Q,Miss,0.036792055349407916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,2,male,0.8240764011058055,0.0016084900120973105,S,Mr,0.08240764011058055,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,male,0.3465694898215632,0.0006764585930717265,C,Mr,0.03465694898215632,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,male,0.5224930887157577,0.0010198385895548365,S,Mr,0.05224930887157577,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,male,0.36792055349407915,0.0007181330939054013,C,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,3,male,0.2586076903744659,0.0005047685948301715,S,Mr,0.02586076903744659,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,female,0.22090977632570996,0.00043118716701236225,S,Miss,0.022090977632570997,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,female,0.17064589092736868,0.0003330785965886166,C,Miss,0.01706458909273687,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,3,female,0.4973611460165871,0.0009707843043429636,S,Mrs,0.04973611460165871,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,2,female,0.33400351847197784,0.00065193145046579,S,Mrs,0.033400351847197786,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,3,male,0.36792055349407915,0.0007181330939054013,C,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,female,0.032420206081930136,6.328002792331598e-05,C,Miss,0.0032420206081930137,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,3,female,0.23347574767529528,0.0004557143096182987,Q,Miss,0.02334757476752953,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,3,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.36792055349407915,0.0007181330939054013,Q,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,3,female,0.36792055349407915,0.0007181330939054013,Q,Miss,0.036792055349407916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,3,male,0.36792055349407915,0.0007181330939054013,C,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,3,female,0.22090977632570996,0.00043118716701236225,S,Mrs,0.022090977632570997,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,3,male,0.08268409148027142,0.00016138859834706164,S,Master,0.008268409148027142,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,3,male,0.2586076903744659,0.0005047685948301715,S,Mr,0.02586076903744659,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,female,0.610454888162855,0.0011915285877963915,C,Mrs,0.0610454888162855,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,2,female,0.35913546117114853,0.000700985735677663,S,Mrs,0.03591354611711485,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,male,0.8115104297562201,0.001583962869491374,C,Mr,0.081151042975622,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,female,0.2586076903744659,0.0005047685948301715,S,Miss,0.02586076903744659,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,male,0.35285247549635584,0.0006887221643746947,C,Mr,0.035285247549635586,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,female,0.05755214878110078,0.00011233431313518881,S,Miss,0.0057552148781100775,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,male,0.13294797687861273,0.00025949716877080736,S,Master,0.013294797687861274,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,3,male,0.2711736617240513,0.000529295737436108,C,Mr,0.02711736617240513,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,female,0.4722292033174164,0.0009217300191310908,"0    S
dtype: object",Miss,0.04722292033174164,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,male,0.5601910027645137,0.0010934200173726458,S,Mr,0.05601910027645137,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.04498617743151546,8.780717052925239e-05,S,Master,0.004498617743151545,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,male,0.36792055349407915,0.0007181330939054013,C,Mr,0.036792055349407916,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,3,male,0.36792055349407915,0.0007181330939054013,C,Master,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2,female,0.35913546117114853,0.000700985735677663,S,Mrs,0.03591354611711485,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,3,male,0.23347574767529528,0.0004557143096182987,S,Mr,0.02334757476752953,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,female,0.20834380497612465,0.00040666002440642587,S,Miss,0.020834380497612465,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,male,0.32143754712239253,0.0006274043078598536,S,Mr,0.03214375471223925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,2,male,0.39683337521990447,0.0007745671634954721,S,Mr,0.03968333752199045,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,female,0.19577783362653933,0.0003821328818004895,S,Miss,0.019577783362653933,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,male,0.2586076903744659,0.0005047685948301715,S,Mr,0.02586076903744659,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.32143754712239253,0.0006274043078598536,C,Mr,0.03214375471223925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,3,male,0.39683337521990447,0.0007745671634954721,S,Mr,0.03968333752199045,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.3088715757728072,0.0006028771652539172,S,Mr,0.03088715757728072,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,male,0.005152048253329982,1.0056128468433933e-05,S,Master,0.0005152048253329982,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3,female,0.37170143252073384,0.0007255128782835994,S,Miss,0.037170143252073386,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,male,0.2711736617240513,0.000529295737436108,S,Mr,0.02711736617240513,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,male,0.35913546117114853,0.000700985735677663,S,Mr,0.03591354611711485,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,female,0.36792055349407915,0.0007181330939054013,Q,Miss,0.036792055349407916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1,male,0.3465694898215632,0.0006764585930717265,S,Mr,0.03465694898215632,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,female,0.20834380497612465,0.00040666002440642587,S,Miss,0.020834380497612465,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,female,0.4093993465694898,0.0007990943061014086,S,Mrs,0.04093993465694898,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,3,male,0.19577783362653933,0.0003821328818004895,S,Mr,0.019577783362653933,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
